,smiles,IC50,pchembl,type,ID
1471,O=C(N[C@@H](CC1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4ccsc4,72.0,7.14,IC50,CHEMBL2207575
1470,O=C(N[C@@H](c1ccccc1)c2cn(nn2)C3(CC3)C#N)c4ccsc4,1500.0,5.82,IC50,CHEMBL2207576
1469,Clc1ccc(cc1)[C@H](NC(=O)c2ccsc2)c3cn(nn3)C4(CC4)C#N,93.0,7.03,IC50,CHEMBL2207577
1468,O=C(N[C@@H](CCc1ccccc1)c2cn(nn2)C3(CC3)C#N)c4ccsc4,3200.0,5.5,IC50,CHEMBL2207578
1467,O=C(N[C@@H](C1CCCCO1)c2cn(nn2)C3(CC3)C#N)c4ccsc4,93.0,7.03,IC50,CHEMBL2207579
1466,O=C(N[C@@H](C1CCCOC1)c2cn(nn2)C3(CC3)C#N)c4ccsc4,310.0,6.51,IC50,CHEMBL2207580
1465,O=C(N[C@@H](C1CCOCC1)c2cn(nn2)C3(CC3)C#N)c4ccsc4,400.0,6.4,IC50,CHEMBL2207581
1464,O=C(N[C@@H](C1CCS(=O)(=O)CC1)c2cn(nn2)C3(CC3)C#N)c4ccsc4,4000.0,5.4,IC50,CHEMBL2207582
1462,CS(=O)(=O)CC[C@H](NC(=O)c1ccsc1)c2cn(nn2)C3(CC3)C#N,8000.0,5.1,IC50,CHEMBL2207584
1461,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4cocc4,4.2,8.38,IC50,CHEMBL2207585
1460,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4ocnc4,4.6,8.34,IC50,CHEMBL2207586
1459,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4csc(c4)c5ccccc5,1.0,9.0,IC50,CHEMBL2207587
1458,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4ccccc4,1.8,8.74,IC50,CHEMBL2207588
1457,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4cccnc4,8.8,8.06,IC50,CHEMBL2207589
